               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.038109,            0.021622,           0.0034678,             0.69231,             0.64503,             0.69403,             0.36811,            0.037391,            0.009812,           0.0024406,            0.008317,            0.008317,            0.008317
                  53,            0.037844,            0.021985,           0.0034321,             0.70625,             0.66298,              0.7037,             0.37614,            0.037438,           0.0096152,           0.0022795,            0.008284,            0.008284,            0.008284
                  54,            0.038332,            0.021406,           0.0035424,             0.69556,             0.66114,              0.6975,             0.37039,             0.03771,            0.009613,            0.002473,            0.008251,            0.008251,            0.008251
                  55,             0.03824,            0.021272,           0.0034303,             0.69121,             0.65278,             0.68981,              0.3672,            0.037663,           0.0097534,           0.0025842,            0.008218,            0.008218,            0.008218
                  56,            0.038149,            0.021656,           0.0035194,             0.68767,             0.66622,             0.69361,             0.37299,            0.037534,           0.0096431,            0.002588,            0.008185,            0.008185,            0.008185
                  57,            0.037561,            0.021588,           0.0032745,             0.70249,             0.66752,             0.70218,             0.38008,            0.037049,           0.0095842,           0.0021835,            0.008152,            0.008152,            0.008152
                  58,             0.03774,            0.021528,           0.0036491,             0.71149,             0.67241,             0.71389,             0.38639,            0.037321,           0.0095391,           0.0023308,            0.008119,            0.008119,            0.008119
                  59,            0.037687,            0.021329,           0.0032455,             0.69351,             0.66888,             0.69817,             0.37425,            0.036907,           0.0098708,           0.0023687,            0.008086,            0.008086,            0.008086
                  60,            0.037562,            0.021379,           0.0032878,             0.69363,             0.67851,             0.70868,             0.37883,            0.037126,           0.0095551,            0.002334,            0.008053,            0.008053,            0.008053
                  61,            0.037561,             0.02142,           0.0032667,             0.72071,             0.68107,             0.71957,             0.39022,            0.036948,            0.009438,           0.0023655,             0.00802,             0.00802,             0.00802
                  62,            0.037337,            0.021528,           0.0033566,             0.68408,             0.67233,              0.6977,             0.37318,            0.036573,           0.0097608,           0.0022613,            0.007987,            0.007987,            0.007987
                  63,            0.037106,             0.02113,           0.0029397,             0.70897,             0.68844,              0.7207,             0.39075,            0.036707,           0.0094005,            0.002289,            0.007954,            0.007954,            0.007954
                  64,             0.03719,             0.02141,            0.003412,               0.705,             0.67551,              0.7124,             0.38907,            0.036553,           0.0095145,           0.0022226,            0.007921,            0.007921,            0.007921
                  65,            0.036958,            0.021415,           0.0030693,             0.71618,             0.67069,             0.71906,             0.39281,            0.036497,           0.0094853,           0.0022129,            0.007888,            0.007888,            0.007888
                  66,             0.03706,            0.021255,            0.003672,             0.70732,              0.6793,              0.7185,             0.38906,            0.036507,           0.0094801,           0.0022941,            0.007855,            0.007855,            0.007855
                  67,            0.037115,            0.021423,           0.0035057,             0.71453,             0.68482,             0.73001,             0.39728,            0.036157,           0.0093507,           0.0022443,            0.007822,            0.007822,            0.007822
                  68,            0.036893,            0.021515,           0.0031901,             0.71728,             0.68057,             0.72281,             0.39532,            0.036668,           0.0094424,           0.0024293,            0.007789,            0.007789,            0.007789
                  69,            0.036973,            0.021143,           0.0031304,             0.70269,             0.68313,             0.72781,             0.40013,            0.036323,           0.0094097,           0.0021499,            0.007756,            0.007756,            0.007756
                  70,            0.036775,            0.020976,           0.0032548,              0.7305,             0.67802,             0.73032,             0.40359,            0.036233,           0.0093472,           0.0022958,            0.007723,            0.007723,            0.007723
                  71,            0.036615,            0.020944,           0.0033287,             0.71962,             0.68364,             0.72715,             0.39966,            0.036321,            0.009359,           0.0023261,             0.00769,             0.00769,             0.00769
                  72,            0.036659,            0.020859,           0.0032122,             0.72434,              0.6922,               0.729,             0.40331,            0.036028,           0.0093237,           0.0023286,            0.007657,            0.007657,            0.007657
                  73,            0.036163,            0.020877,           0.0028767,             0.71289,             0.69862,              0.7289,             0.40735,            0.036134,            0.009308,           0.0022501,            0.007624,            0.007624,            0.007624
                  74,            0.036641,            0.020858,            0.003027,             0.70848,              0.6791,             0.72244,               0.401,            0.035989,           0.0094353,           0.0021753,            0.007591,            0.007591,            0.007591
                  75,            0.036588,            0.020848,           0.0031127,             0.73129,              0.6754,             0.73292,             0.41027,            0.036129,           0.0092789,           0.0022718,            0.007558,            0.007558,            0.007558
                  76,            0.036534,            0.020979,           0.0031035,              0.7233,             0.69841,             0.73626,             0.41053,            0.035718,            0.009238,           0.0023188,            0.007525,            0.007525,            0.007525
                  77,            0.036223,             0.02105,           0.0030182,             0.72967,              0.6864,               0.737,             0.41098,            0.035538,           0.0092519,           0.0024312,            0.007492,            0.007492,            0.007492
                  78,            0.035999,            0.020716,           0.0030508,             0.73949,             0.68175,             0.73277,             0.40951,            0.035636,           0.0092495,           0.0023815,            0.007459,            0.007459,            0.007459
                  79,            0.036065,            0.020818,           0.0032306,             0.72468,             0.68603,             0.73619,             0.40999,            0.035731,           0.0093166,           0.0023177,            0.007426,            0.007426,            0.007426
                  80,            0.035982,            0.020964,            0.002861,             0.72063,             0.69107,             0.73893,             0.41179,             0.03566,            0.009249,           0.0021399,            0.007393,            0.007393,            0.007393
                  81,            0.036015,            0.020652,           0.0028995,             0.72165,             0.69208,              0.7374,             0.41347,            0.035604,            0.009263,           0.0022265,             0.00736,             0.00736,             0.00736
                  82,            0.035784,            0.020786,           0.0030542,             0.72546,             0.69902,             0.74534,             0.41778,            0.035416,           0.0091997,           0.0022165,            0.007327,            0.007327,            0.007327
                  83,             0.03581,            0.020799,           0.0031666,             0.72572,             0.69893,             0.74598,             0.41764,            0.035492,           0.0092568,           0.0024044,            0.007294,            0.007294,            0.007294
                  84,            0.036159,            0.020606,           0.0031188,             0.72188,             0.69332,              0.7356,             0.41028,            0.035586,           0.0093153,           0.0020862,            0.007261,            0.007261,            0.007261
                  85,            0.035635,            0.020358,           0.0029549,             0.71588,             0.69615,             0.73983,             0.41309,            0.035513,           0.0092402,            0.002135,            0.007228,            0.007228,            0.007228
                  86,            0.035749,            0.020655,            0.002999,             0.74178,             0.67635,             0.73769,             0.41443,            0.035493,           0.0092345,           0.0021663,            0.007195,            0.007195,            0.007195
                  87,            0.035685,            0.020623,           0.0028717,              0.7248,             0.69737,              0.7405,             0.41782,            0.035553,           0.0092303,           0.0021531,            0.007162,            0.007162,            0.007162
                  88,            0.035378,            0.020695,           0.0027903,             0.73166,             0.69914,             0.74383,             0.41866,            0.035382,           0.0091888,            0.002155,            0.007129,            0.007129,            0.007129
                  89,            0.035398,            0.020446,           0.0028141,              0.7306,             0.70252,             0.74978,             0.42465,            0.035162,           0.0091577,           0.0021049,            0.007096,            0.007096,            0.007096
                  90,            0.035473,            0.020604,           0.0027178,             0.75173,             0.68903,              0.7492,              0.4264,            0.035224,           0.0091266,           0.0020758,            0.007063,            0.007063,            0.007063
                  91,            0.035173,            0.020804,           0.0026851,             0.75243,             0.69398,             0.75046,             0.42778,            0.035067,           0.0091282,           0.0020546,             0.00703,             0.00703,             0.00703
